Version, Version Name, Name, Age, Revisions, Bugfix, LOCs, LOCs Touched, LOCs Added, Churn, Avg. Churn, Authors Number, Average Change Set, Buggy
1,refs/tags/release-3.0.0,src/java/jmx/org/apache/zookeeper/jmx/CommonNames.java,0,3,0,27,43,36,27,9.0,2,124.0,false
1,refs/tags/release-3.0.0,src/java/jmx/org/apache/zookeeper/jmx/MBeanRegistry.java,0,4,0,164,189,182,164,41.0,3,93.25,false
1,refs/tags/release-3.0.0,src/java/jmx/org/apache/zookeeper/jmx/ZKMBeanInfo.java,0,3,0,34,48,42,34,11.333333333333334,2,124.0,false
1,refs/tags/release-3.0.0,src/java/jmx/org/apache/zookeeper/jmx/server/ConnectionBean.java,0,5,1,91,138,125,91,18.2,3,88.8,false
1,refs/tags/release-3.0.0,src/java/jmx/org/apache/zookeeper/jmx/server/ConnectionMXBean.java,0,3,0,65,80,74,65,21.666666666666668,2,124.0,false
1,refs/tags/release-3.0.0,src/java/jmx/org/apache/zookeeper/jmx/server/DataTreeBean.java,0,5,1,74,122,105,78,15.6,2,89.2,false
1,refs/tags/release-3.0.0,src/java/jmx/org/apache/zookeeper/jmx/server/DataTreeMXBean.java,0,3,0,44,58,52,44,14.666666666666666,2,124.0,false
1,refs/tags/release-3.0.0,src/java/jmx/org/apache/zookeeper/jmx/server/ZooKeeperServerBean.java,0,4,1,95,143,130,95,23.75,3,97.5,false
1,refs/tags/release-3.0.0,src/java/jmx/org/apache/zookeeper/jmx/server/ZooKeeperServerMXBean.java,0,3,0,71,86,80,71,23.666666666666668,2,124.0,false
1,refs/tags/release-3.0.0,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/FollowerBean.java,0,3,0,26,40,34,26,8.666666666666666,2,124.0,false
1,refs/tags/release-3.0.0,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/FollowerMXBean.java,0,3,0,23,38,32,23,7.666666666666667,2,124.0,false
1,refs/tags/release-3.0.0,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderBean.java,0,3,0,26,41,35,26,8.666666666666666,2,124.0,false
1,refs/tags/release-3.0.0,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderElectionBean.java,0,3,0,35,57,50,35,11.666666666666666,2,124.0,false
1,refs/tags/release-3.0.0,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderElectionMXBean.java,0,3,0,32,46,40,32,10.666666666666666,2,124.0,false
1,refs/tags/release-3.0.0,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderMXBean.java,0,3,0,23,38,32,23,7.666666666666667,2,124.0,false
1,refs/tags/release-3.0.0,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LocalPeerBean.java,0,4,1,44,69,61,44,11.0,3,97.5,false
1,refs/tags/release-3.0.0,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LocalPeerMXBean.java,0,3,0,31,48,41,31,10.333333333333334,2,124.0,false
1,refs/tags/release-3.0.0,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/QuorumBean.java,0,3,0,35,60,52,35,11.666666666666666,2,124.0,false
1,refs/tags/release-3.0.0,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/QuorumMXBean.java,0,3,0,31,45,39,31,10.333333333333334,2,124.0,false
